I20026_JR32_Polemonium_filicinum,I20028_JR8_Polemonium_elegans,I20029_JR11_Polemonium_reptans,I23883_JRRS16_Polemonium_pulcherimum_shastense,I23905_JRRS10_Polemonium_carneum,I23907_JR95_Polemonium_pectinatum,I23912_JR112_Polemonium_pauciflorum,I23913_JR040_Polemonium_molle,I23914_JR098_Polemonium_brandegeii,I23917_JR124_Polemonium_viscosum,I23919_JR107_Polemonium_chartaceum,I23920_JRRS17_Polemonium_occidentale_occidentale,I23921_JR109_Polemonium_viscosum,I23927_JR5496_Polemonium_elusum,I26282_JR137_Polemonium_micranthum,I26284_JRRS15_Polemonium_eddyense,I26285_JR136_Polemonium_delicatum
0.0,0.02513097473289007,0.0166455780836871,0.01673572344129039,0.017375623505925693,0.024693102127922282,0.018038633985164396,0.021821480873813463,0.019853565796651235,0.021347677604150364,0.013029828701806525,0.018116856696417147,0.017515073674476,0.022158603266241535,0.033371651982871335,0.020476902336482552,0.022170420425230448
0.02513097473289007,0.0,0.02016584098698739,0.020401820931207133,0.019511336919499554,0.020474222455029254,0.017437952346579712,0.020396642629572755,0.01549415155023578,0.014812063386489917,0.022103595057077614,0.025409450987097317,0.014469749238484944,0.014813213438516572,0.028871690757744442,0.01616110249360877,0.01707188898350433
0.0166455780836871,0.02016584098698739,0.0,0.012726001351408136,0.012915815334359112,0.021090301061543883,0.02028127466336012,0.024186392963773902,0.01837174041018181,0.018209948682435154,0.012657441007385056,0.013835503357414094,0.018027945041912286,0.01638974070699069,0.031451114441689076,0.01877541337864666,0.019199099688348795
0.01673572344129039,0.020401820931207133,0.012726001351408136,0.0,0.014766632463376275,0.022463667454760798,0.020549807231760572,0.02334036645063279,0.018550285895556285,0.0189603506077871,0.013785555678693537,0.017979039626337293,0.017599419080846026,0.018669866104955187,0.032560613737684506,0.020263674651277094,0.01583409741471718
0.017375623505925693,0.019511336919499554,0.012915815334359112,0.014766632463376275,0.0,0.022517107293078084,0.020579391472492495,0.024757713530472715,0.019082391834617893,0.017217753867258878,0.012380016378287718,0.015587086037052353,0.018821221019740528,0.01583231901327112,0.03161484259827575,0.019615412484302423,0.020631469416868498
0.024693102127922282,0.020474222455029254,0.021090301061543883,0.022463667454760798,0.022517107293078084,0.0,0.01910255734086416,0.02090319538229883,0.017343860612206764,0.015282119618793175,0.021713670480390065,0.021201527499156287,0.015173826238144335,0.01555257263573011,0.02817467947873205,0.016890748581364214,0.014090007336384927
0.018038633985164396,0.017437952346579712,0.02028127466336012,0.020549807231760572,0.020579391472492495,0.01910255734086416,0.0,0.016552171310479178,0.012081253757636362,0.014648985183300354,0.0193764080478835,0.024357747956480203,0.008876200277579016,0.015604340663442469,0.029328493335458377,0.015416483427012675,0.016088646109353857
0.021821480873813463,0.020396642629572755,0.024186392963773902,0.02334036645063279,0.024757713530472715,0.02090319538229883,0.016552171310479178,0.0,0.014091008472234273,0.016156459522123856,0.02456041181438081,0.026672484948202707,0.011622859842441938,0.01736284373463903,0.030853909772663925,0.017866032447012584,0.017307822735078825
0.019853565796651235,0.01549415155023578,0.01837174041018181,0.018550285895556285,0.019082391834617893,0.017343860612206764,0.012081253757636362,0.014091008472234273,0.0,0.011305264977967047,0.019627361201781823,0.02081702030150354,0.007138089977665378,0.011608691049085941,0.025554212019461696,0.012232344609302667,0.01326183970444481
0.021347677604150364,0.014812063386489917,0.018209948682435154,0.0189603506077871,0.017217753867258878,0.015282119618793175,0.014648985183300354,0.016156459522123856,0.011305264977967047,0.0,0.01734640044197273,0.02121008342940067,0.00990719372704787,0.00993563988564989,0.025153422914063917,0.012991132434912768,0.010921784468627033
0.013029828701806525,0.022103595057077614,0.012657441007385056,0.013785555678693537,0.012380016378287718,0.021713670480390065,0.0193764080478835,0.02456041181438081,0.019627361201781823,0.01734640044197273,0.0,0.016221320341602213,0.017605266484466336,0.01747490101293529,0.0314761156280564,0.016417403309978748,0.0202385510467311
0.018116856696417147,0.025409450987097317,0.013835503357414094,0.017979039626337293,0.015587086037052353,0.021201527499156287,0.024357747956480203,0.026672484948202707,0.02081702030150354,0.02121008342940067,0.016221320341602213,0.0,0.020848743553604922,0.020149163362022937,0.030160255857599048,0.019971594265079082,0.021220418326445906
0.017515073674476,0.014469749238484944,0.018027945041912286,0.017599419080846026,0.018821221019740528,0.015173826238144335,0.008876200277579016,0.011622859842441938,0.007138089977665378,0.00990719372704787,0.017605266484466336,0.020848743553604922,0.0,0.012028127177689885,0.025300230415245272,0.010980972387430782,0.011482426289506294
0.022158603266241535,0.014813213438516572,0.01638974070699069,0.018669866104955187,0.01583231901327112,0.01555257263573011,0.015604340663442469,0.01736284373463903,0.011608691049085941,0.00993563988564989,0.01747490101293529,0.020149163362022937,0.012028127177689885,0.0,0.024150715511097886,0.012382513437829392,0.012882709892824508
0.033371651982871335,0.028871690757744442,0.031451114441689076,0.032560613737684506,0.03161484259827575,0.02817467947873205,0.029328493335458377,0.030853909772663925,0.025554212019461696,0.025153422914063917,0.0314761156280564,0.030160255857599048,0.025300230415245272,0.024150715511097886,0.0,0.024923463901623085,0.024405510746614224
0.020476902336482552,0.01616110249360877,0.01877541337864666,0.020263674651277094,0.019615412484302423,0.016890748581364214,0.015416483427012675,0.017866032447012584,0.012232344609302667,0.012991132434912768,0.016417403309978748,0.019971594265079082,0.010980972387430782,0.012382513437829392,0.024923463901623085,0.0,0.014699112559221359
0.022170420425230448,0.01707188898350433,0.019199099688348795,0.01583409741471718,0.020631469416868498,0.014090007336384927,0.016088646109353857,0.017307822735078825,0.01326183970444481,0.010921784468627033,0.0202385510467311,0.021220418326445906,0.011482426289506294,0.012882709892824508,0.024405510746614224,0.014699112559221359,0.0
